Parcel_ID,O_zone,D_zone,DepotNumber,CEP,Network,Type
94151,7399,2668,1.0,PostNL,conventional,consolidated
94209,4178,2668,1.0,PostNL,conventional,consolidated
94232,4178,2668,1.0,PostNL,conventional,consolidated
94278,6955,2668,1.0,PostNL,conventional,consolidated
94342,4137,4604,15.0,FedEx,conventional,consolidated
94350,5514,4604,5.0,GLS,conventional,consolidated
94370,5501,1044,7.0,DHL,conventional,consolidated
94372,2662,1044,7.0,DHL,conventional,consolidated
94381,2662,1044,7.0,DHL,conventional,consolidated
94388,2662,1044,7.0,DHL,conventional,consolidated
94397,3362,4604,13.0,UPS,conventional,consolidated
94407,3362,4604,13.0,UPS,conventional,consolidated
94463,4178,2668,1.0,PostNL,conventional,consolidated
94500,3362,4604,13.0,UPS,conventional,consolidated
94507,4137,4604,15.0,FedEx,conventional,consolidated
94517,5501,1044,7.0,DHL,conventional,consolidated
94543,2662,1044,7.0,DHL,conventional,consolidated
94558,4137,4604,15.0,FedEx,conventional,consolidated
94670,2662,1044,7.0,DHL,conventional,consolidated
94685,7399,2668,1.0,PostNL,conventional,consolidated
94699,1008,2662,7.0,DHL,conventional,consolidated
94705,5501,2662,7.0,DHL,conventional,consolidated
94772,4178,2668,1.0,PostNL,conventional,consolidated
94816,5501,2662,7.0,DHL,conventional,consolidated
94837,7399,2668,1.0,PostNL,conventional,consolidated
94955,5514,4604,5.0,GLS,conventional,consolidated
94957,5514,4604,5.0,GLS,conventional,consolidated
94964,4178,2668,1.0,PostNL,conventional,consolidated
94970,4178,2668,1.0,PostNL,conventional,consolidated
95002,4178,2668,1.0,PostNL,conventional,consolidated
95022,5501,1044,7.0,DHL,conventional,consolidated
95024,2662,1044,7.0,DHL,conventional,consolidated
95057,2662,1044,7.0,DHL,conventional,consolidated
95092,3362,4604,13.0,UPS,conventional,consolidated
95130,4178,2668,1.0,PostNL,conventional,consolidated
95163,5501,1044,7.0,DHL,conventional,consolidated
95215,5501,1044,7.0,DHL,conventional,consolidated
95216,2662,1044,7.0,DHL,conventional,consolidated
95309,4137,4604,15.0,FedEx,conventional,consolidated
95377,6767,2662,7.0,DHL,conventional,consolidated
95438,4178,2668,1.0,PostNL,conventional,consolidated
95469,5501,2662,7.0,DHL,conventional,consolidated
95539,7399,2668,1.0,PostNL,conventional,consolidated
95544,4178,2668,1.0,PostNL,conventional,consolidated
95552,5514,4604,5.0,GLS,conventional,consolidated
95556,7241,2662,7.0,DHL,conventional,consolidated
95560,5501,2662,7.0,DHL,conventional,consolidated
95574,6767,2662,7.0,DHL,conventional,consolidated
95577,5501,2662,7.0,DHL,conventional,consolidated
95624,4137,4604,15.0,FedEx,conventional,consolidated
95724,4178,2668,1.0,PostNL,conventional,consolidated
95734,4178,2668,1.0,PostNL,conventional,consolidated
95872,6955,2668,1.0,PostNL,conventional,consolidated
95903,6955,2668,1.0,PostNL,conventional,consolidated
95946,1044,2662,7.0,DHL,conventional,consolidated
95987,6955,2668,1.0,PostNL,conventional,consolidated
96038,4178,2668,1.0,PostNL,conventional,consolidated
96109,6955,2668,1.0,PostNL,conventional,consolidated
96113,7399,2668,1.0,PostNL,conventional,consolidated
96218,5501,2662,7.0,DHL,conventional,consolidated
96254,3362,4604,13.0,UPS,conventional,consolidated
96271,4178,2668,1.0,PostNL,conventional,consolidated
96368,5501,2662,7.0,DHL,conventional,consolidated
96376,1044,2662,7.0,DHL,conventional,consolidated
96381,5501,2662,7.0,DHL,conventional,consolidated
96387,1044,2662,7.0,DHL,conventional,consolidated
96548,4178,2668,1.0,PostNL,conventional,consolidated
96706,4178,2668,1.0,PostNL,conventional,consolidated
96715,4178,2668,1.0,PostNL,conventional,consolidated
96741,3362,4604,13.0,UPS,conventional,consolidated
96780,2662,1044,7.0,DHL,conventional,consolidated
96843,6955,2668,1.0,PostNL,conventional,consolidated
96893,4178,2668,1.0,PostNL,conventional,consolidated
96939,1044,2662,7.0,DHL,conventional,consolidated
96940,6767,2662,7.0,DHL,conventional,consolidated
96961,5514,4604,5.0,GLS,conventional,consolidated
97047,3362,4604,13.0,UPS,conventional,consolidated
97088,6955,2668,1.0,PostNL,conventional,consolidated
97211,5501,2662,7.0,DHL,conventional,consolidated
97213,5501,2662,7.0,DHL,conventional,consolidated
97250,7399,2668,1.0,PostNL,conventional,consolidated
97289,4178,2668,1.0,PostNL,conventional,consolidated
97313,4178,2668,1.0,PostNL,conventional,consolidated
97331,4137,4604,15.0,FedEx,conventional,consolidated
97381,6955,2668,1.0,PostNL,conventional,consolidated
97417,4178,2668,1.0,PostNL,conventional,consolidated
97425,7366,4604,5.0,GLS,conventional,consolidated
97474,6955,2668,1.0,PostNL,conventional,consolidated
97494,4178,2668,1.0,PostNL,conventional,consolidated
97514,5501,2662,7.0,DHL,conventional,consolidated
97515,5501,2662,7.0,DHL,conventional,consolidated
97526,4178,2668,1.0,PostNL,conventional,consolidated
97531,1008,2662,7.0,DHL,conventional,consolidated
97537,5501,2662,7.0,DHL,conventional,consolidated
97546,5501,2662,7.0,DHL,conventional,consolidated
97593,7399,2668,1.0,PostNL,conventional,consolidated
97623,5501,2662,7.0,DHL,conventional,consolidated
97675,5501,2662,7.0,DHL,conventional,consolidated
97688,7399,2668,1.0,PostNL,conventional,consolidated
97695,1044,2662,7.0,DHL,conventional,consolidated
97745,5501,2662,7.0,DHL,conventional,consolidated
97792,5501,2662,7.0,DHL,conventional,consolidated
97794,1044,2662,7.0,DHL,conventional,consolidated
97883,1008,2662,7.0,DHL,conventional,consolidated
97885,1044,2662,7.0,DHL,conventional,consolidated
97924,7399,2668,1.0,PostNL,conventional,consolidated
98011,5501,2662,7.0,DHL,conventional,consolidated
98048,4178,2668,1.0,PostNL,conventional,consolidated
98128,4178,2668,1.0,PostNL,conventional,consolidated
98147,1044,2662,7.0,DHL,conventional,consolidated
98174,4178,2668,1.0,PostNL,conventional,consolidated
98175,4178,2668,1.0,PostNL,conventional,consolidated
98230,5501,2662,7.0,DHL,conventional,consolidated
98248,1044,2662,7.0,DHL,conventional,consolidated
98257,1044,2662,7.0,DHL,conventional,consolidated
98387,1044,2662,7.0,DHL,conventional,consolidated
98410,4178,2668,1.0,PostNL,conventional,consolidated
98500,5514,4604,5.0,GLS,conventional,consolidated
98557,6955,2668,1.0,PostNL,conventional,consolidated
98591,6955,2668,1.0,PostNL,conventional,consolidated
98677,7399,2668,1.0,PostNL,conventional,consolidated
98769,6955,2668,1.0,PostNL,conventional,consolidated
98833,5501,2662,7.0,DHL,conventional,consolidated
98840,1044,2662,7.0,DHL,conventional,consolidated
98841,5501,2662,7.0,DHL,conventional,consolidated
98842,5501,2662,7.0,DHL,conventional,consolidated
98863,3362,4604,13.0,UPS,conventional,consolidated
98904,6955,2668,1.0,PostNL,conventional,consolidated
98966,1044,2662,7.0,DHL,conventional,consolidated
98977,6767,2662,7.0,DHL,conventional,consolidated
99080,1044,2662,7.0,DHL,conventional,consolidated
99099,5501,2662,7.0,DHL,conventional,consolidated
99104,4137,4604,15.0,FedEx,conventional,consolidated
99124,5514,4604,5.0,GLS,conventional,consolidated
99129,7366,4604,5.0,GLS,conventional,consolidated
99184,4178,2668,1.0,PostNL,conventional,consolidated
99330,1044,2662,7.0,DHL,conventional,consolidated
99333,1044,2662,7.0,DHL,conventional,consolidated
99385,1044,2662,7.0,DHL,conventional,consolidated
99392,5501,2662,7.0,DHL,conventional,consolidated
99425,4137,4604,15.0,FedEx,conventional,consolidated
99627,4137,4604,15.0,FedEx,conventional,consolidated
99632,5501,2662,7.0,DHL,conventional,consolidated
99662,4137,4604,15.0,FedEx,conventional,consolidated
99723,7399,2668,1.0,PostNL,conventional,consolidated
99729,5514,4604,5.0,GLS,conventional,consolidated
99811,5501,2662,7.0,DHL,conventional,consolidated
99839,5514,4604,5.0,GLS,conventional,consolidated
99939,4178,2668,1.0,PostNL,conventional,consolidated
100018,7399,2668,1.0,PostNL,conventional,consolidated
100030,4178,2668,1.0,PostNL,conventional,consolidated
100048,4178,2668,1.0,PostNL,conventional,consolidated
100056,4178,2668,1.0,PostNL,conventional,consolidated
100110,1044,2662,7.0,DHL,conventional,consolidated
100174,4178,2668,1.0,PostNL,conventional,consolidated
100227,5501,2662,7.0,DHL,conventional,consolidated
100239,5514,4604,5.0,GLS,conventional,consolidated
100359,6955,2668,1.0,PostNL,conventional,consolidated
100369,7366,4604,5.0,GLS,conventional,consolidated
100383,1008,2662,7.0,DHL,conventional,consolidated
100520,3362,4604,13.0,UPS,conventional,consolidated
100532,4178,2668,1.0,PostNL,conventional,consolidated
100559,7399,2668,1.0,PostNL,conventional,consolidated
100595,7399,2668,1.0,PostNL,conventional,consolidated
100598,6955,2668,1.0,PostNL,conventional,consolidated
100686,4178,2668,1.0,PostNL,conventional,consolidated
100703,1044,2662,7.0,DHL,conventional,consolidated
100735,4137,4604,15.0,FedEx,conventional,consolidated
100852,7399,2668,1.0,PostNL,conventional,consolidated
100876,1008,2662,7.0,DHL,conventional,consolidated
100907,1044,2662,7.0,DHL,conventional,consolidated
100911,5501,2662,7.0,DHL,conventional,consolidated
100916,1008,2662,7.0,DHL,conventional,consolidated
100942,3362,4604,13.0,UPS,conventional,consolidated
100960,3362,4604,13.0,UPS,conventional,consolidated
101046,6955,2668,1.0,PostNL,conventional,consolidated
101112,6955,2668,1.0,PostNL,conventional,consolidated
101123,1044,2662,7.0,DHL,conventional,consolidated
101131,5514,4604,5.0,GLS,conventional,consolidated
101212,6767,2662,7.0,DHL,conventional,consolidated
101219,1008,2662,7.0,DHL,conventional,consolidated
101244,4178,2668,1.0,PostNL,conventional,consolidated
101263,4178,2668,1.0,PostNL,conventional,consolidated
101265,7399,2668,1.0,PostNL,conventional,consolidated
101307,5501,2662,7.0,DHL,conventional,consolidated
101374,6955,2668,1.0,PostNL,conventional,consolidated
101389,6955,2668,1.0,PostNL,conventional,consolidated
101506,7399,2668,1.0,PostNL,conventional,consolidated
101533,5501,2662,7.0,DHL,conventional,consolidated
101556,5501,2662,7.0,DHL,conventional,consolidated
101578,1044,2662,7.0,DHL,conventional,consolidated
101640,7366,4604,5.0,GLS,conventional,consolidated
101683,5501,2662,7.0,DHL,conventional,consolidated
