Parcel_ID,O_zone,D_zone,DepotNumber,CEP,Task
91580,2668,2295,1.0,PostNL,Delivery
91615,2662,2296,10.0,DHL,Delivery
91658,2662,2296,10.0,DHL,Delivery
91664,2662,2296,10.0,DHL,Delivery
91676,2662,2296,10.0,DHL,Delivery
91677,2662,2296,10.0,DHL,Delivery
91721,4604,2296,14.0,DPD,Delivery
91734,4604,2296,14.0,DPD,Delivery
91750,2668,2296,1.0,PostNL,Delivery
91815,2668,2296,1.0,PostNL,Delivery
91816,2668,2296,1.0,PostNL,Delivery
91819,2668,2296,1.0,PostNL,Delivery
91836,2668,2296,1.0,PostNL,Delivery
91857,2668,2296,1.0,PostNL,Delivery
91867,2668,2296,1.0,PostNL,Delivery
91893,2668,2296,1.0,PostNL,Delivery
91916,2668,2296,1.0,PostNL,Delivery
91947,4604,2296,14.0,DPD,Delivery
91948,4604,2296,14.0,DPD,Delivery
91958,2662,2297,10.0,DHL,Delivery
91960,2662,2297,10.0,DHL,Delivery
91972,2662,2297,10.0,DHL,Delivery
91992,4604,2297,14.0,DPD,Delivery
91993,4604,2297,14.0,DPD,Delivery
91995,4604,2297,14.0,DPD,Delivery
92003,2668,2297,1.0,PostNL,Delivery
92045,2668,2297,1.0,PostNL,Delivery
92046,2668,2297,1.0,PostNL,Delivery
92062,4604,2297,14.0,DPD,Delivery
92079,2662,2298,10.0,DHL,Delivery
92082,4604,2298,14.0,DPD,Delivery
92108,2662,2299,10.0,DHL,Delivery
92109,2662,2299,10.0,DHL,Delivery
92122,2668,2299,1.0,PostNL,Delivery
92128,2668,2299,1.0,PostNL,Delivery
92145,1044,2300,7.0,DHL,Delivery
92190,2668,2301,1.0,PostNL,Delivery
92224,4604,2303,14.0,DPD,Delivery
92235,2668,2303,1.0,PostNL,Delivery
92285,2668,2304,1.0,PostNL,Delivery
92304,4604,2304,14.0,DPD,Delivery
92314,1044,2305,7.0,DHL,Delivery
92322,1044,2305,7.0,DHL,Delivery
